trip_id,n_frames,n_critical_zone,mae_critical,inv_ttc_mae,f1,false_positive_rate,composite_score,wall_time_sec,effective_fps
T01-Sample,600,12,58.595,0.0520,0.125,0.008,30.6,33.480,17.92
T02-Sample,600,19,6.617,0.4031,0.211,0.158,12.2,31.481,19.06
T03-Sample,600,32,34.066,0.5999,0.167,0.296,5.0,32.118,18.68
T04-Sample,600,76,45.670,0.0887,0.450,0.018,38.2,33.476,17.92
T05-Sample,600,47,53.877,0.2329,0.000,0.150,16.0,33.792,17.76
T06-Sample,600,97,29.450,0.4125,0.364,0.139,16.2,32.644,18.38
OVERALL,3600,283,38.046,0.2982,0.220,,19.7,196.991,18.28
